"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9473","should complete full login and logout flow","firefox","Sun Aug 17 19:47:05 UTC 2025","passed","Sun Aug 17 19:47:15 UTC 2025","Next.js Login Tests","","",""
"","6094","should complete full login and logout flow","firefox","Sun Aug 17 19:46:10 UTC 2025","passed","Sun Aug 17 19:46:16 UTC 2025","Reactjs Login Tests","","",""
"","10868","should complete login flow and redirect to hello page","webkit","Sun Aug 17 19:46:15 UTC 2025","passed","Sun Aug 17 19:46:26 UTC 2025","Express Login Tests","","",""
"","14823","should complete login flow and show balance","firefox","Sun Aug 17 19:47:35 UTC 2025","passed","Sun Aug 17 19:47:50 UTC 2025","Solana Next14 Wallet Adapter Login Tests","","",""
"","5529","should complete login flow and redirect to hello page","firefox","Sun Aug 17 19:46:20 UTC 2025","passed","Sun Aug 17 19:46:25 UTC 2025","Fastify Login Tests","","",""
"","18070","should complete login flow and show balance","webkit","Sun Aug 17 19:46:56 UTC 2025","passed","Sun Aug 17 19:47:14 UTC 2025","Solana Next14 No Wallet Adapter Login Tests","","",""
"","11249","should complete login flow and show balance","chromium","Sun Aug 17 19:47:21 UTC 2025","passed","Sun Aug 17 19:47:32 UTC 2025","Solana Next15 Turbopack No Wallet Adapter Login Tests","","",""
"","13487","should complete full login and logout flow","webkit","Sun Aug 17 19:46:17 UTC 2025","passed","Sun Aug 17 19:46:31 UTC 2025","Reactjs Login Tests","","",""
"","14510","should complete login flow and show balance","webkit","Sun Aug 17 19:46:33 UTC 2025","passed","Sun Aug 17 19:46:47 UTC 2025","Solana Vite No Wallet Adapter Login Tests","","",""
"","15557","should complete login flow and show balance","firefox","Sun Aug 17 19:48:28 UTC 2025","passed","Sun Aug 17 19:48:44 UTC 2025","Wagmi Login Tests","","",""
"","10996","should complete login flow and show balance","firefox","Sun Aug 17 19:45:41 UTC 2025","passed","Sun Aug 17 19:45:52 UTC 2025","Solana Vite Wallet Adapter Login Tests","","",""
"","13176","should complete full embedded login and logout flow","webkit","Sun Aug 17 19:45:50 UTC 2025","passed","Sun Aug 17 19:46:03 UTC 2025","VanillaJS Embedded Login Tests","","",""
"","7185","should complete login flow and show balance","chromium","Sun Aug 17 19:46:15 UTC 2025","passed","Sun Aug 17 19:46:22 UTC 2025","Solana Vite No Wallet Adapter Login Tests","","",""
"","29051","should complete login flow and show balance","webkit","Sun Aug 17 19:46:56 UTC 2025","failed","Sun Aug 17 19:47:25 UTC 2025","Solana Vite Wallet Adapter Login Tests","","",""
