"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 10 19:34:43 GMT 2025","Fri Oct 10 19:35:14 GMT 2025","30421","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:34:13 GMT 2025","Fri Oct 10 19:34:47 GMT 2025","33339","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 19:35:59 GMT 2025","Fri Oct 10 19:37:08 GMT 2025","68864","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 19:34:05 GMT 2025","Fri Oct 10 19:34:07 GMT 2025","2296","WebKit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:37:03 GMT 2025","Fri Oct 10 19:37:33 GMT 2025","29925","Web3 Start Mode","Solana Applications","Next.js 14 No Wallet Adapter","","","should complete full login and logout flow",""
"broken","Fri Oct 10 19:34:58 GMT 2025","Fri Oct 10 19:35:29 GMT 2025","30327","Firefox","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 19:34:56 GMT 2025","Fri Oct 10 19:35:26 GMT 2025","30618","Chromium","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 19:34:58 GMT 2025","Fri Oct 10 19:35:29 GMT 2025","30344","Firefox","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 19:36:16 GMT 2025","Fri Oct 10 19:37:24 GMT 2025","68308","Web3 Start Mode","Solana Applications","Next.js 14 No Wallet Adapter","","","should complete full login and logout flow",""
"failed","Fri Oct 10 19:34:21 GMT 2025","Fri Oct 10 19:34:21 GMT 2025","391","Chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:35:02 GMT 2025","Fri Oct 10 19:35:35 GMT 2025","32426","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:34:53 GMT 2025","Fri Oct 10 19:35:23 GMT 2025","30407","WebKit","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 19:34:51 GMT 2025","Fri Oct 10 19:35:22 GMT 2025","30789","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:35:10 GMT 2025","Fri Oct 10 19:35:41 GMT 2025","31218","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 19:33:56 GMT 2025","Fri Oct 10 19:34:00 GMT 2025","3303","Firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:33:49 GMT 2025","Fri Oct 10 19:33:50 GMT 2025","691","Chromium","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:33:56 GMT 2025","Fri Oct 10 19:33:56 GMT 2025","324","Chromium","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:34:42 GMT 2025","Fri Oct 10 19:35:14 GMT 2025","31926","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:35:10 GMT 2025","Fri Oct 10 19:35:41 GMT 2025","30604","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 19:35:30 GMT 2025","Fri Oct 10 19:36:00 GMT 2025","30582","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"broken","Fri Oct 10 19:35:02 GMT 2025","Fri Oct 10 19:35:34 GMT 2025","31825","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 19:37:25 GMT 2025","Fri Oct 10 19:38:32 GMT 2025","67206","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"broken","Fri Oct 10 19:34:57 GMT 2025","Fri Oct 10 19:35:28 GMT 2025","30849","WebKit","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 19:34:51 GMT 2025","Fri Oct 10 19:35:22 GMT 2025","30606","Chromium","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 19:34:53 GMT 2025","Fri Oct 10 19:35:23 GMT 2025","30364","Firefox","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 19:36:43 GMT 2025","Fri Oct 10 19:37:15 GMT 2025","31799","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"broken","Fri Oct 10 19:35:24 GMT 2025","Fri Oct 10 19:35:55 GMT 2025","30365","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 19:33:21 GMT 2025","Fri Oct 10 19:33:23 GMT 2025","2160","WebKit","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:33:40 GMT 2025","Fri Oct 10 19:33:41 GMT 2025","464","Chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:34:56 GMT 2025","Fri Oct 10 19:35:27 GMT 2025","30740","WebKit","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 19:35:07 GMT 2025","Fri Oct 10 19:35:39 GMT 2025","31605","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 19:36:12 GMT 2025","Fri Oct 10 19:36:43 GMT 2025","31330","Web3 Start Mode","Solana Applications","Next.js 14 No Wallet Adapter","","","should complete full login and logout flow",""
"failed","Fri Oct 10 19:36:47 GMT 2025","Fri Oct 10 19:37:21 GMT 2025","33561","Firefox","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"broken","Fri Oct 10 19:34:12 GMT 2025","Fri Oct 10 19:34:42 GMT 2025","30330","Firefox","","Solana Vite Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 19:33:19 GMT 2025","Fri Oct 10 19:33:22 GMT 2025","3145","Firefox","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:35:47 GMT 2025","Fri Oct 10 19:36:17 GMT 2025","30447","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 19:34:04 GMT 2025","Fri Oct 10 19:34:07 GMT 2025","2482","Firefox","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:34:09 GMT 2025","Fri Oct 10 19:34:40 GMT 2025","31240","Chromium","","Solana Vite Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 19:33:10 GMT 2025","Fri Oct 10 19:33:10 GMT 2025","431","Chromium","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:36:06 GMT 2025","Fri Oct 10 19:37:13 GMT 2025","66509","Firefox","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 19:34:02 GMT 2025","Fri Oct 10 19:34:05 GMT 2025","2740","Firefox","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:33:59 GMT 2025","Fri Oct 10 19:34:01 GMT 2025","2197","WebKit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 19:34:26 GMT 2025","Fri Oct 10 19:34:27 GMT 2025","1227","Firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:34:11 GMT 2025","Fri Oct 10 19:34:42 GMT 2025","30490","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:35:23 GMT 2025","Fri Oct 10 19:35:54 GMT 2025","31676","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:34:09 GMT 2025","Fri Oct 10 19:34:40 GMT 2025","31154","WebKit","","Solana Vite Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 19:34:27 GMT 2025","Fri Oct 10 19:34:28 GMT 2025","943","WebKit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:34:56 GMT 2025","Fri Oct 10 19:35:26 GMT 2025","30597","Chromium","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 19:35:09 GMT 2025","Fri Oct 10 19:35:40 GMT 2025","30815","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:34:41 GMT 2025","Fri Oct 10 19:35:12 GMT 2025","30428","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:34:49 GMT 2025","Fri Oct 10 19:35:21 GMT 2025","32552","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 19:34:14 GMT 2025","Fri Oct 10 19:34:45 GMT 2025","30565","Firefox","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 19:33:52 GMT 2025","Fri Oct 10 19:33:56 GMT 2025","3826","Firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:34:51 GMT 2025","Fri Oct 10 19:35:22 GMT 2025","30747","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 19:34:05 GMT 2025","Fri Oct 10 19:34:07 GMT 2025","2279","WebKit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 19:34:15 GMT 2025","Fri Oct 10 19:34:45 GMT 2025","30580","Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
