"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1502","should call onSignIn callback with error on failed sign-in","Chromium","Thu Nov 13 16:36:46 UTC 2025","passed","Thu Nov 13 16:36:48 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","3830","should call onSignIn callback with error on failed sign-in","Firefox","Thu Nov 13 16:39:27 UTC 2025","passed","Thu Nov 13 16:39:31 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","10125","should complete full login and logout flow","WebKit","Thu Nov 13 16:37:36 UTC 2025","passed","Thu Nov 13 16:37:46 UTC 2025","Civic Auth Applications","Login","",""
"","5053","should reinitialize authentication when session is stale (>30 minutes)","WebKit","Thu Nov 13 16:38:15 UTC 2025","passed","Thu Nov 13 16:38:20 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","11884","should complete full modal login and logout flow","Firefox","Thu Nov 13 16:36:33 UTC 2025","passed","Thu Nov 13 16:36:45 UTC 2025","Civic Auth Applications","Login","",""
"","5824","should complete full embedded login and logout flow","WebKit","Thu Nov 13 16:37:58 UTC 2025","passed","Thu Nov 13 16:38:04 UTC 2025","Civic Auth Applications","Login","",""
"","11473","should rehydrate session via API call","WebKit","Thu Nov 13 16:43:27 UTC 2025","passed","Thu Nov 13 16:43:38 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","3957","should reinitialize authentication when session is stale (>30 minutes)","Chromium","Thu Nov 13 16:37:18 UTC 2025","passed","Thu Nov 13 16:37:21 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","11721","should call useUser onSignIn callback on successful sign-in","Firefox","Thu Nov 13 16:39:27 UTC 2025","passed","Thu Nov 13 16:39:38 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","31789","should handle refresh token flow correctly","Chromium","Thu Nov 13 16:37:35 UTC 2025","broken","Thu Nov 13 16:38:06 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","4966","should reinitialize authentication when session is stale (>30 minutes)","Firefox","Thu Nov 13 16:39:50 UTC 2025","passed","Thu Nov 13 16:39:55 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","2692","should call onSignIn callback with error on failed sign-in","Firefox","Thu Nov 13 16:37:30 UTC 2025","passed","Thu Nov 13 16:37:32 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","8916","should call onSignIn callback on successful sign-in","Firefox","Thu Nov 13 16:37:17 UTC 2025","passed","Thu Nov 13 16:37:26 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","7745","should complete login flow and redirect to hello page","Chromium","Thu Nov 13 16:36:33 UTC 2025","passed","Thu Nov 13 16:36:41 UTC 2025","Civic Auth Applications","Login","",""
