"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 10 22:31:33 GMT 2025","Fri Oct 10 22:31:46 GMT 2025","13178","Firefox","Session Rehydration","Session Rehydration - VanillaJS","","","should rehydrate session via API call",""
"broken","Fri Oct 10 22:30:30 GMT 2025","Fri Oct 10 22:31:02 GMT 2025","31606","Chromium","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should maintain callback state across page interactions",""
"passed","Fri Oct 10 22:33:56 GMT 2025","Fri Oct 10 22:34:07 GMT 2025","10715","Firefox","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should maintain callback state across page interactions",""
"passed","Fri Oct 10 22:29:57 GMT 2025","Fri Oct 10 22:30:10 GMT 2025","13585","WebKit","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Fri Oct 10 22:29:46 GMT 2025","Fri Oct 10 22:30:03 GMT 2025","17734","Chromium","Refresh Token","Civic Auth Applications","","","should handle refresh token flow correctly in modal mode",""
"passed","Fri Oct 10 22:31:31 GMT 2025","Fri Oct 10 22:31:43 GMT 2025","11873","Chromium","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call useUser onSignIn callback and handle sign-out correctly",""
"broken","Fri Oct 10 22:30:16 GMT 2025","Fri Oct 10 22:30:48 GMT 2025","31787","Chromium","Refresh Token","Civic Auth Applications","","","should handle refresh token flow correctly",""
"passed","Fri Oct 10 22:34:59 GMT 2025","Fri Oct 10 22:35:01 GMT 2025","2378","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call onSignIn callback with error on failed sign-in",""
"broken","Fri Oct 10 22:33:12 GMT 2025","Fri Oct 10 22:33:43 GMT 2025","31577","WebKit","onSignIn Callback","Civic Auth onSignIn Callback Tests","","","should call onSignIn callback and handle sign-out correctly",""
"passed","Fri Oct 10 22:29:42 GMT 2025","Fri Oct 10 22:29:51 GMT 2025","8557","Firefox","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
