"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","9","0","0","0","0"
"Civic Auth Applications","VanillaJS Embedded Login","","0","0","2","0","0"
"Civic Auth Applications","Express Login (LoginSuccessUrl)","","0","0","2","0","0"
"Civic Auth Applications","Fastify Login (LoginSuccessUrl)","","1","0","1","0","0"
"Civic Auth Applications","VanillaJS Embedded Email Verification","VanillaJS Embedded Email Code Verification Flow","0","0","2","0","0"
"Civic Auth Applications","Fastify Login","","0","0","2","0","0"
"Civic Auth Applications","React.js Login","","0","0","2","0","0"
"Civic Auth Applications","Next.js Login (BasePath)","","0","2","0","0","0"
"Civic Auth Applications","React.js Email Verification","React.js Email Code Verification Flow","0","0","2","0","0"
"Civic Auth Applications","Fastify Email Verification","Fastify Email Code Verification Flow with Real Email","0","0","2","0","0"
