"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 10 18:40:02 GMT 2025","Fri Oct 10 18:41:10 GMT 2025","67164","Web3 Start Mode","Solana Applications","Next.js 14 No Wallet Adapter","","","should complete full login and logout flow",""
"broken","Fri Oct 10 18:39:06 GMT 2025","Fri Oct 10 18:39:37 GMT 2025","30964","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 18:38:56 GMT 2025","Fri Oct 10 18:39:27 GMT 2025","31181","Chromium","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 18:37:55 GMT 2025","Fri Oct 10 18:37:55 GMT 2025","275","Chromium","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 18:38:43 GMT 2025","Fri Oct 10 18:39:14 GMT 2025","31165","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 18:38:55 GMT 2025","Fri Oct 10 18:39:26 GMT 2025","31072","Chromium","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 18:38:11 GMT 2025","Fri Oct 10 18:38:43 GMT 2025","31726","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 18:37:07 GMT 2025","Fri Oct 10 18:37:07 GMT 2025","238","Chromium","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 18:40:18 GMT 2025","Fri Oct 10 18:41:25 GMT 2025","67345","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 18:39:48 GMT 2025","Fri Oct 10 18:40:55 GMT 2025","66632","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 18:37:54 GMT 2025","Fri Oct 10 18:37:54 GMT 2025","159","Chromium","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 18:38:12 GMT 2025","Fri Oct 10 18:38:43 GMT 2025","31882","Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"broken","Fri Oct 10 18:38:50 GMT 2025","Fri Oct 10 18:39:21 GMT 2025","31342","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 18:37:53 GMT 2025","Fri Oct 10 18:37:53 GMT 2025","148","Chromium","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 18:38:57 GMT 2025","Fri Oct 10 18:39:28 GMT 2025","31069","Chromium","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 18:39:02 GMT 2025","Fri Oct 10 18:39:33 GMT 2025","31087","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 18:37:41 GMT 2025","Fri Oct 10 18:37:41 GMT 2025","164","Chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 18:39:26 GMT 2025","Fri Oct 10 18:39:58 GMT 2025","31370","Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 18:38:09 GMT 2025","Fri Oct 10 18:38:40 GMT 2025","31188","Chromium","","Solana Vite Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 18:38:24 GMT 2025","Fri Oct 10 18:38:24 GMT 2025","157","Chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
