"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 04 16:09:57 GMT 2025","Thu Sep 04 16:10:03 GMT 2025","6412","Civic Auth Applications - Chromium","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 16:18:54 GMT 2025","Thu Sep 04 16:18:57 GMT 2025","3273","Civic Auth Applications - Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Thu Sep 04 16:09:07 GMT 2025","Thu Sep 04 16:09:17 GMT 2025","10013","Civic Auth Applications - Chromium","Email","Civic Auth Applications","","","should complete full embedded email verification and logout flow",""
"passed","Thu Sep 04 16:09:16 GMT 2025","Thu Sep 04 16:09:27 GMT 2025","11569","Civic Auth Applications - Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Thu Sep 04 16:21:19 GMT 2025","Thu Sep 04 16:21:41 GMT 2025","22119","Civic Auth Applications - Firefox","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Thu Sep 04 16:09:37 GMT 2025","Thu Sep 04 16:09:43 GMT 2025","5974","Civic Auth Applications - Firefox","Login","Civic Auth Applications","","","should complete full embedded login and logout flow",""
"passed","Thu Sep 04 16:10:14 GMT 2025","Thu Sep 04 16:10:28 GMT 2025","13513","Civic Auth Applications - WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Thu Sep 04 16:35:28 GMT 2025","Thu Sep 04 16:35:44 GMT 2025","16606","Civic Auth Applications - Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete full login and logout flow with custom loginSuccessUrl",""
"passed","Thu Sep 04 16:08:43 GMT 2025","Thu Sep 04 16:08:50 GMT 2025","6892","Civic Auth Applications - Chromium","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Thu Sep 04 16:21:42 GMT 2025","Thu Sep 04 16:21:48 GMT 2025","5385","Civic Auth Applications - WebKit","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 16:31:28 GMT 2025","Thu Sep 04 16:31:35 GMT 2025","6616","Civic Auth Applications - Chromium","Email","Civic Auth Applications","","","should complete email verification flow with actual email",""
"failed","Thu Sep 04 16:20:08 GMT 2025","Thu Sep 04 16:20:31 GMT 2025","22333","Civic Auth Applications - Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Thu Sep 04 16:10:13 GMT 2025","Thu Sep 04 16:10:19 GMT 2025","5755","Civic Auth Applications - Firefox","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 16:09:01 GMT 2025","Thu Sep 04 16:09:15 GMT 2025","14366","Civic Auth Applications - Chromium","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Thu Sep 04 16:09:44 GMT 2025","Thu Sep 04 16:09:56 GMT 2025","12080","Civic Auth Applications - Firefox","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Thu Sep 04 16:31:37 GMT 2025","Thu Sep 04 16:31:41 GMT 2025","4314","Civic Auth Applications - Chromium","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 16:09:33 GMT 2025","Thu Sep 04 16:09:40 GMT 2025","6030","Civic Auth Applications - WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Thu Sep 04 16:31:42 GMT 2025","Thu Sep 04 16:31:53 GMT 2025","11722","Civic Auth Applications - Firefox","Email","Civic Auth Applications","","","should complete email verification flow with actual email",""
"passed","Thu Sep 04 16:09:19 GMT 2025","Thu Sep 04 16:09:25 GMT 2025","6478","Civic Auth Applications - Chromium","Login","Civic Auth Applications","","","should complete full embedded login and logout flow",""
"passed","Thu Sep 04 16:09:09 GMT 2025","Thu Sep 04 16:09:21 GMT 2025","11343","Civic Auth Applications - WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Thu Sep 04 16:09:44 GMT 2025","Thu Sep 04 16:09:55 GMT 2025","10545","Civic Auth Applications - WebKit","Email","Civic Auth Applications","","","should complete full embedded email verification and logout flow",""
"passed","Thu Sep 04 16:21:21 GMT 2025","Thu Sep 04 16:21:28 GMT 2025","7123","Civic Auth Applications - Firefox","Email","Civic Auth Applications","","","should complete email verification flow with actual email",""
"passed","Thu Sep 04 16:32:09 GMT 2025","Thu Sep 04 16:32:14 GMT 2025","5156","Civic Auth Applications - WebKit","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 16:19:06 GMT 2025","Thu Sep 04 16:19:12 GMT 2025","6657","Civic Auth Applications - WebKit","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Thu Sep 04 16:09:58 GMT 2025","Thu Sep 04 16:10:13 GMT 2025","15522","Civic Auth Applications - WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Thu Sep 04 16:31:54 GMT 2025","Thu Sep 04 16:31:58 GMT 2025","4424","Civic Auth Applications - Firefox","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 16:21:16 GMT 2025","Thu Sep 04 16:21:20 GMT 2025","3611","Civic Auth Applications - Chromium","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 16:36:00 GMT 2025","Thu Sep 04 16:36:14 GMT 2025","13346","Civic Auth Applications - WebKit","Login SuccessUrl","Civic Auth Applications","","","should complete full login and logout flow with custom loginSuccessUrl",""
"passed","Thu Sep 04 16:08:34 GMT 2025","Thu Sep 04 16:08:39 GMT 2025","4954","Civic Auth Applications - Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
