"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 08 09:11:27 GMT 2025","Mon Sep 08 09:11:39 GMT 2025","12351","chromium","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Sep 08 09:11:57 GMT 2025","Mon Sep 08 09:12:12 GMT 2025","14715","webkit","","Express Email Verification Tests","","","should complete email verification flow with actual email",""
"passed","Mon Sep 08 09:11:13 GMT 2025","Mon Sep 08 09:11:24 GMT 2025","11461","chromium","","React.js Email Verification Tests","","","should complete email verification flow",""
"passed","Mon Sep 08 09:10:30 GMT 2025","Mon Sep 08 09:10:38 GMT 2025","8389","webkit","","Fastify Email Verification Tests","","","should complete email verification flow with actual email",""
"broken","Mon Sep 08 09:18:27 GMT 2025","Mon Sep 08 09:19:27 GMT 2025","60000","firefox","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Mon Sep 08 09:10:39 GMT 2025","Mon Sep 08 09:10:46 GMT 2025","6912","webkit","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"broken","Mon Sep 08 09:17:23 GMT 2025","Mon Sep 08 09:17:54 GMT 2025","30720","webkit","","Solana Vite No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 09:25:08 GMT 2025","Mon Sep 08 09:25:40 GMT 2025","31980","webkit","","Wagmi Next.js Email Verification Tests","","","should complete email verification flow with wagmi",""
"broken","Mon Sep 08 09:15:30 GMT 2025","Mon Sep 08 09:16:30 GMT 2025","60002","firefox","","Solana Next.js 15 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"failed","Mon Sep 08 09:15:52 GMT 2025","Mon Sep 08 09:16:17 GMT 2025","25320","firefox","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:15:30 GMT 2025","Mon Sep 08 09:16:01 GMT 2025","31065","chromium","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:18:10 GMT 2025","Mon Sep 08 09:18:41 GMT 2025","30552","firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:23:45 GMT 2025","Mon Sep 08 09:24:17 GMT 2025","31757","webkit","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:21:27 GMT 2025","Mon Sep 08 09:21:59 GMT 2025","32052","webkit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:15:31 GMT 2025","Mon Sep 08 09:16:31 GMT 2025","60000","firefox","","Solana Next.js 15 Turbopack No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"passed","Mon Sep 08 09:09:47 GMT 2025","Mon Sep 08 09:10:00 GMT 2025","12141","webkit","","Hono Email Verification Tests","","","should complete email verification flow with actual email",""
"broken","Mon Sep 08 09:18:49 GMT 2025","Mon Sep 08 09:19:20 GMT 2025","31480","webkit","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Mon Sep 08 09:09:59 GMT 2025","Mon Sep 08 09:10:07 GMT 2025","8092","chromium","","Fastify Email Verification Tests","","","should complete email verification flow with actual email",""
"failed","Mon Sep 08 09:12:56 GMT 2025","Mon Sep 08 09:13:23 GMT 2025","27443","chromium","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:17:09 GMT 2025","Mon Sep 08 09:17:39 GMT 2025","30272","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:15:19 GMT 2025","Mon Sep 08 09:15:49 GMT 2025","30344","firefox","","Solana Next.js 14 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 09:18:43 GMT 2025","Mon Sep 08 09:19:43 GMT 2025","60001","firefox","","Wagmi Next.js Email Verification Tests","","","should complete email verification flow with wagmi",""
"broken","Mon Sep 08 09:18:44 GMT 2025","Mon Sep 08 09:19:15 GMT 2025","30750","webkit","","Wagmi Email Verification Tests","","","should complete email verification flow with wagmi",""
"failed","Mon Sep 08 09:16:02 GMT 2025","Mon Sep 08 09:16:30 GMT 2025","28766","firefox","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:18:15 GMT 2025","Mon Sep 08 09:18:46 GMT 2025","31548","webkit","","Solana Next.js 14 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 09:15:34 GMT 2025","Mon Sep 08 09:16:05 GMT 2025","30525","firefox","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Mon Sep 08 09:17:39 GMT 2025","Mon Sep 08 09:18:11 GMT 2025","32226","webkit","","Solana Vite Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Mon Sep 08 09:11:20 GMT 2025","Mon Sep 08 09:11:51 GMT 2025","30792","chromium","","Solana Vite No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 09:12:28 GMT 2025","Mon Sep 08 09:12:59 GMT 2025","30646","chromium","","Wagmi Email Verification Tests","","","should complete email verification flow with wagmi",""
"broken","Mon Sep 08 09:15:39 GMT 2025","Mon Sep 08 09:16:09 GMT 2025","30291","firefox","","Wagmi Email Verification Tests","","","should complete email verification flow with wagmi",""
"broken","Mon Sep 08 09:24:32 GMT 2025","Mon Sep 08 09:25:04 GMT 2025","32192","webkit","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Mon Sep 08 09:11:27 GMT 2025","Mon Sep 08 09:11:58 GMT 2025","31620","chromium","","Solana Next.js 15 Turbopack No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 09:20:25 GMT 2025","Mon Sep 08 09:20:57 GMT 2025","31541","webkit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:19:35 GMT 2025","Mon Sep 08 09:20:35 GMT 2025","60001","firefox","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:12:23 GMT 2025","Mon Sep 08 09:12:54 GMT 2025","31585","chromium","","Solana Next.js 14 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 09:13:04 GMT 2025","Mon Sep 08 09:13:35 GMT 2025","31348","chromium","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:26:12 GMT 2025","Mon Sep 08 09:26:43 GMT 2025","30951","webkit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Sep 08 09:11:02 GMT 2025","Mon Sep 08 09:11:10 GMT 2025","7384","chromium","","Next.js Login Tests","","","should complete full login and logout flow",""
"passed","Mon Sep 08 09:11:40 GMT 2025","Mon Sep 08 09:11:56 GMT 2025","16177","firefox","","React.js Email Verification Tests","","","should complete email verification flow",""
"broken","Mon Sep 08 09:13:51 GMT 2025","Mon Sep 08 09:14:22 GMT 2025","30272","firefox","","Next.js Login Tests","","","should complete full login and logout flow",""
"broken","Mon Sep 08 09:15:28 GMT 2025","Mon Sep 08 09:15:58 GMT 2025","30508","webkit","","Reactjs Login Tests","","","should complete full login and logout flow",""
"broken","Mon Sep 08 09:22:42 GMT 2025","Mon Sep 08 09:23:42 GMT 2025","60000","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 09:13:53 GMT 2025","Mon Sep 08 09:14:24 GMT 2025","31043","chromium","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Mon Sep 08 09:16:43 GMT 2025","Mon Sep 08 09:17:08 GMT 2025","24740","firefox","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
