"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7032","should complete login flow and redirect to hello page","Chromium","Thu Nov 13 00:20:46 UTC 2025","passed","Thu Nov 13 00:20:53 UTC 2025","Civic Auth Applications","Login","",""
"","8940","should complete login flow and redirect to customSuccessRoute","Firefox","Thu Nov 13 00:20:53 UTC 2025","passed","Thu Nov 13 00:21:02 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","9499","should maintain callback state across page interactions","Chromium","Thu Nov 13 00:21:48 UTC 2025","passed","Thu Nov 13 00:21:58 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","9445","should complete full embedded login and logout flow","Chromium","Thu Nov 13 00:20:52 UTC 2025","passed","Thu Nov 13 00:21:02 UTC 2025","Civic Auth Applications","Login","",""
"","7828","should complete full login and logout flow","Firefox","Thu Nov 13 00:21:00 UTC 2025","passed","Thu Nov 13 00:21:08 UTC 2025","Civic Auth Applications","Login","",""
"","15517","should call onSignIn callback and handle sign-out correctly","WebKit","Thu Nov 13 00:21:22 UTC 2025","passed","Thu Nov 13 00:21:37 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","11038","should handle refresh token flow correctly","Chromium","Thu Nov 13 00:21:51 UTC 2025","passed","Thu Nov 13 00:22:02 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","7223","should call onSignIn callback on successful sign-in","Chromium","Thu Nov 13 00:20:52 UTC 2025","passed","Thu Nov 13 00:20:59 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","16201","should maintain callback state across page interactions","WebKit","Thu Nov 13 00:23:06 UTC 2025","passed","Thu Nov 13 00:23:22 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","13489","should call onSignIn callback on successful sign-in","WebKit","Thu Nov 13 00:21:21 UTC 2025","passed","Thu Nov 13 00:21:35 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","5027","should reinitialize authentication when session is stale (>30 minutes)","Chromium","Thu Nov 13 00:22:02 UTC 2025","passed","Thu Nov 13 00:22:07 UTC 2025","Civic Auth Applications","Stale Session Handling","",""
"","20137","should complete full login and logout flow","WebKit","Thu Nov 13 00:22:44 UTC 2025","passed","Thu Nov 13 00:23:04 UTC 2025","Civic Auth Applications","Login","",""
"","14140","should complete full modal login and logout flow","WebKit","Thu Nov 13 00:21:01 UTC 2025","passed","Thu Nov 13 00:21:15 UTC 2025","Civic Auth Applications","Login","",""
"","7191","should complete login flow and redirect to customSuccessRoute","Chromium","Thu Nov 13 00:21:05 UTC 2025","passed","Thu Nov 13 00:21:12 UTC 2025","Civic Auth Applications","Login SuccessUrl","",""
"","11379","should complete full modal login and logout flow","Firefox","Thu Nov 13 00:20:47 UTC 2025","passed","Thu Nov 13 00:20:59 UTC 2025","Civic Auth Applications","Login","",""
"","16935","should call useUser onSignIn callback and handle sign-out correctly","WebKit","Thu Nov 13 00:23:05 UTC 2025","passed","Thu Nov 13 00:23:22 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","11757","should handle refresh token flow correctly in modal mode","Chromium","Thu Nov 13 00:20:47 UTC 2025","passed","Thu Nov 13 00:20:59 UTC 2025","Civic Auth Applications","Refresh Token","",""
"","3094","should call onSignIn callback with error on failed sign-in","WebKit","Thu Nov 13 00:23:05 UTC 2025","passed","Thu Nov 13 00:23:08 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","10480","should rehydrate session via API call","Chromium","Thu Nov 13 00:21:02 UTC 2025","passed","Thu Nov 13 00:21:12 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","12754","should rehydrate session via API call","WebKit","Thu Nov 13 00:21:39 UTC 2025","passed","Thu Nov 13 00:21:52 UTC 2025","Session Rehydration - VanillaJS","Session Rehydration","",""
"","11865","should call useUser onSignIn callback and handle sign-out correctly","Firefox","Thu Nov 13 00:22:20 UTC 2025","passed","Thu Nov 13 00:22:31 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","10450","should rehydrate session via middleware on page reload","Chromium","Thu Nov 13 00:21:58 UTC 2025","passed","Thu Nov 13 00:22:08 UTC 2025","Session Rehydration - NextJS","Session Rehydration","",""
"","3976","should call onSignIn callback with error on failed sign-in","WebKit","Thu Nov 13 00:21:29 UTC 2025","passed","Thu Nov 13 00:21:33 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","8602","should call onSignIn callback and handle sign-out correctly","Chromium","Thu Nov 13 00:20:52 UTC 2025","passed","Thu Nov 13 00:21:00 UTC 2025","Civic Auth onSignIn Callback Tests","onSignIn Callback","",""
"","5958","should complete login flow and redirect to hello page","Chromium","Thu Nov 13 00:20:54 UTC 2025","passed","Thu Nov 13 00:21:00 UTC 2025","Civic Auth Applications","Login","",""
"","5689","should complete full modal login and logout flow","Chromium","Thu Nov 13 00:20:48 UTC 2025","passed","Thu Nov 13 00:20:53 UTC 2025","Civic Auth Applications","Login","",""
"","9866","should complete email verification flow","Chromium","Thu Nov 13 00:21:37 UTC 2025","passed","Thu Nov 13 00:21:47 UTC 2025","Civic Auth Applications","Email","",""
"","5914","should complete full login and logout flow","Chromium","Thu Nov 13 00:20:52 UTC 2025","passed","Thu Nov 13 00:20:58 UTC 2025","Civic Auth Applications","Login","",""
"","7126","should complete login flow and redirect to hello page","Chromium","Thu Nov 13 00:21:07 UTC 2025","passed","Thu Nov 13 00:21:14 UTC 2025","Civic Auth Applications","Login","",""
