"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 00:23:30 GMT 2025","Wed Aug 20 00:23:40 GMT 2025","10581","webkit","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Wed Aug 20 00:25:05 GMT 2025","Wed Aug 20 00:25:18 GMT 2025","13069","firefox","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Wed Aug 20 00:26:08 GMT 2025","Wed Aug 20 00:26:25 GMT 2025","16902","webkit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Wed Aug 20 00:24:58 GMT 2025","Wed Aug 20 00:25:09 GMT 2025","10944","firefox","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Wed Aug 20 00:23:45 GMT 2025","Wed Aug 20 00:23:49 GMT 2025","4487","chromium","","Hono Login Tests","","","should complete login flow and redirect to hello page",""
"passed","Wed Aug 20 00:24:29 GMT 2025","Wed Aug 20 00:24:36 GMT 2025","6639","firefox","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"passed","Wed Aug 20 00:24:49 GMT 2025","Wed Aug 20 00:24:57 GMT 2025","7820","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Wed Aug 20 00:24:57 GMT 2025","Wed Aug 20 00:25:10 GMT 2025","13376","chromium","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Wed Aug 20 00:26:04 GMT 2025","Wed Aug 20 00:26:14 GMT 2025","9804","firefox","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Wed Aug 20 00:25:25 GMT 2025","Wed Aug 20 00:25:42 GMT 2025","16352","webkit","","Solana Next15 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Wed Aug 20 00:26:15 GMT 2025","Wed Aug 20 00:26:32 GMT 2025","17126","webkit","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
