"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 08 00:29:47 GMT 2025","Mon Sep 08 00:30:18 GMT 2025","30319","chromium","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Sep 08 00:27:12 GMT 2025","Mon Sep 08 00:27:16 GMT 2025","4552","firefox","","Reactjs Login Tests","","","should complete full login and logout flow",""
"broken","Mon Sep 08 00:29:53 GMT 2025","Mon Sep 08 00:30:24 GMT 2025","30565","firefox","","Solana Next.js 14 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 00:26:57 GMT 2025","Mon Sep 08 00:27:29 GMT 2025","31538","chromium","","Solana Next.js 14 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 00:38:13 GMT 2025","Mon Sep 08 00:38:46 GMT 2025","32563","webkit","","Solana Next15 Turbopack No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Sep 08 00:25:50 GMT 2025","Mon Sep 08 00:25:58 GMT 2025","8759","chromium","","Hono Email Verification Tests","","","should complete email verification flow with actual email",""
"passed","Mon Sep 08 00:25:34 GMT 2025","Mon Sep 08 00:25:43 GMT 2025","8767","firefox","","Express Email Verification Tests","","","should complete email verification flow with actual email",""
"passed","Mon Sep 08 00:25:34 GMT 2025","Mon Sep 08 00:25:42 GMT 2025","8267","firefox","","VanillaJS Embedded Email Verification Tests","","","should complete full embedded email verification and logout flow",""
"passed","Mon Sep 08 00:26:00 GMT 2025","Mon Sep 08 00:26:06 GMT 2025","5592","webkit","","Express Login Tests","","","should complete login flow and redirect to hello page",""
"broken","Mon Sep 08 00:34:32 GMT 2025","Mon Sep 08 00:35:02 GMT 2025","30695","webkit","","Solana Vite No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"passed","Mon Sep 08 00:26:38 GMT 2025","Mon Sep 08 00:26:48 GMT 2025","9509","chromium","","Reactjs Login Tests","","","should complete full login and logout flow",""
"passed","Mon Sep 08 00:26:56 GMT 2025","Mon Sep 08 00:27:08 GMT 2025","11661","webkit","","Fastify Email Verification Tests","","","should complete email verification flow with actual email",""
"broken","Mon Sep 08 00:27:01 GMT 2025","Mon Sep 08 00:27:33 GMT 2025","31739","chromium","","Solana Next.js 15 Turbopack No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 00:31:42 GMT 2025","Mon Sep 08 00:32:42 GMT 2025","60001","firefox","","Wagmi Next.js Email Verification Tests","","","should complete email verification flow with wagmi",""
"broken","Mon Sep 08 00:27:04 GMT 2025","Mon Sep 08 00:27:36 GMT 2025","31672","chromium","","Solana Next.js 15 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"passed","Mon Sep 08 00:25:28 GMT 2025","Mon Sep 08 00:25:33 GMT 2025","5259","chromium","","VanillaJS Embedded Login Tests","","","should complete full embedded login and logout flow",""
"failed","Mon Sep 08 00:28:25 GMT 2025","Mon Sep 08 00:28:47 GMT 2025","22644","chromium","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 00:34:27 GMT 2025","Mon Sep 08 00:34:59 GMT 2025","31573","webkit","","Solana Next14 No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 00:27:50 GMT 2025","Mon Sep 08 00:28:22 GMT 2025","31539","chromium","","Wagmi Next.js Email Verification Tests","","","should complete email verification flow with wagmi",""
"failed","Mon Sep 08 00:30:01 GMT 2025","Mon Sep 08 00:30:24 GMT 2025","23650","chromium","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"passed","Mon Sep 08 00:26:28 GMT 2025","Mon Sep 08 00:26:36 GMT 2025","8948","chromium","","React.js Email Verification Tests","","","should complete email verification flow",""
"broken","Mon Sep 08 00:36:35 GMT 2025","Mon Sep 08 00:37:08 GMT 2025","32529","webkit","","Solana Next.js 15 Turbopack No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"passed","Mon Sep 08 00:26:19 GMT 2025","Mon Sep 08 00:26:30 GMT 2025","11338","chromium","","Next.js Email Verification Tests","","","should complete email verification flow",""
"broken","Mon Sep 08 00:34:09 GMT 2025","Mon Sep 08 00:34:40 GMT 2025","31502","webkit","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Mon Sep 08 00:30:54 GMT 2025","Mon Sep 08 00:31:24 GMT 2025","30537","firefox","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Mon Sep 08 00:25:49 GMT 2025","Mon Sep 08 00:25:59 GMT 2025","10229","webkit","","Express Email Verification Tests","","","should complete email verification flow with actual email",""
"broken","Mon Sep 08 00:35:43 GMT 2025","Mon Sep 08 00:36:43 GMT 2025","60000","firefox","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 00:37:27 GMT 2025","Mon Sep 08 00:38:00 GMT 2025","32238","webkit","","Solana Next.js 15 No Wallet Adapter Email Verification Tests","","","should complete email verification flow without wallet adapter",""
"broken","Mon Sep 08 00:36:06 GMT 2025","Mon Sep 08 00:36:37 GMT 2025","30755","webkit","","Solana Vite No Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 00:31:58 GMT 2025","Mon Sep 08 00:32:58 GMT 2025","60001","firefox","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"passed","Mon Sep 08 00:26:29 GMT 2025","Mon Sep 08 00:26:35 GMT 2025","5200","chromium","","Fastify Login Tests","","","should complete login flow and redirect to hello page",""
"broken","Mon Sep 08 00:32:57 GMT 2025","Mon Sep 08 00:33:29 GMT 2025","32242","webkit","","Solana Vite Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Mon Sep 08 00:39:42 GMT 2025","Mon Sep 08 00:40:15 GMT 2025","32744","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Mon Sep 08 00:36:02 GMT 2025","Mon Sep 08 00:36:33 GMT 2025","30831","webkit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"passed","Mon Sep 08 00:26:04 GMT 2025","Mon Sep 08 00:26:14 GMT 2025","9122","firefox","","Hono Email Verification Tests","","","should complete email verification flow with actual email",""
"broken","Mon Sep 08 00:26:54 GMT 2025","Mon Sep 08 00:27:25 GMT 2025","31636","webkit","","VanillaJS Embedded Email Verification Tests","","","should complete full embedded email verification and logout flow",""
