"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 04 18:29:02 GMT 2025","Thu Sep 04 18:29:35 GMT 2025","32791","Civic Auth Applications - Chromium","Login Basepath","Civic Auth Applications","","","should complete full login and logout flow with basepath",""
"passed","Thu Sep 04 18:25:22 GMT 2025","Thu Sep 04 18:25:26 GMT 2025","4046","Civic Auth Applications - Firefox","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Thu Sep 04 18:25:17 GMT 2025","Thu Sep 04 18:25:21 GMT 2025","3770","Civic Auth Applications - Chromium","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 18:26:25 GMT 2025","Thu Sep 04 18:26:33 GMT 2025","7708","Civic Auth Applications - Chromium","Email","Civic Auth Applications","","","should complete full embedded email verification and logout flow",""
"passed","Thu Sep 04 18:26:52 GMT 2025","Thu Sep 04 18:27:06 GMT 2025","14079","Civic Auth Applications - Firefox","Email","Civic Auth Applications","","","should complete email verification flow",""
"passed","Thu Sep 04 18:25:21 GMT 2025","Thu Sep 04 18:25:29 GMT 2025","7074","Civic Auth Applications - Firefox","Email","Civic Auth Applications","","","should complete email verification flow with actual email",""
"passed","Thu Sep 04 18:25:59 GMT 2025","Thu Sep 04 18:26:07 GMT 2025","7912","Civic Auth Applications - Chromium","Email","Civic Auth Applications","","","should complete email verification flow with actual email",""
"failed","Thu Sep 04 18:30:42 GMT 2025","Thu Sep 04 18:31:14 GMT 2025","31833","Civic Auth Applications - Firefox","Login Basepath","Civic Auth Applications","","","should complete full login and logout flow with basepath",""
"passed","Thu Sep 04 18:25:51 GMT 2025","Thu Sep 04 18:25:55 GMT 2025","3485","Civic Auth Applications - Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Thu Sep 04 18:25:29 GMT 2025","Thu Sep 04 18:25:33 GMT 2025","4119","Civic Auth Applications - Firefox","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"failed","Thu Sep 04 18:28:31 GMT 2025","Thu Sep 04 18:28:36 GMT 2025","5655","Civic Auth Applications - WebKit","Login SuccessUrl","Civic Auth Applications","","","should complete full login and logout flow with custom loginSuccessUrl",""
"passed","Thu Sep 04 18:26:50 GMT 2025","Thu Sep 04 18:26:56 GMT 2025","5716","Civic Auth Applications - Chromium","Login SuccessUrl","Civic Auth Applications","","","should complete login flow and redirect to customSuccessRoute",""
"passed","Thu Sep 04 18:26:53 GMT 2025","Thu Sep 04 18:26:59 GMT 2025","6321","Civic Auth Applications - WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"passed","Thu Sep 04 18:26:29 GMT 2025","Thu Sep 04 18:26:35 GMT 2025","5774","Civic Auth Applications - Firefox","Login","Civic Auth Applications","","","should complete login flow and redirect to hello page",""
"passed","Thu Sep 04 18:25:34 GMT 2025","Thu Sep 04 18:25:44 GMT 2025","9535","Civic Auth Applications - WebKit","Email","Civic Auth Applications","","","should complete email verification flow with actual email",""
