"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 10 02:52:39 GMT 2025","Fri Oct 10 02:53:46 GMT 2025","67649","Web3 Start Mode","Solana Applications","Next.js 14 No Wallet Adapter","","","should complete full login and logout flow",""
"failed","Fri Oct 10 02:55:41 GMT 2025","Fri Oct 10 02:56:12 GMT 2025","30497","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"broken","Fri Oct 10 02:52:29 GMT 2025","Fri Oct 10 02:53:01 GMT 2025","32169","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 02:53:40 GMT 2025","Fri Oct 10 02:54:11 GMT 2025","31141","WebKit","","Solana Next.js 14 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 02:54:26 GMT 2025","Fri Oct 10 02:55:34 GMT 2025","68241","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"broken","Fri Oct 10 02:53:37 GMT 2025","Fri Oct 10 02:54:09 GMT 2025","31455","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 02:51:12 GMT 2025","Fri Oct 10 02:51:13 GMT 2025","1092","WebKit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 02:52:40 GMT 2025","Fri Oct 10 02:52:41 GMT 2025","1096","WebKit","","Solana Next14 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"failed","Fri Oct 10 02:51:32 GMT 2025","Fri Oct 10 02:51:33 GMT 2025","1016","WebKit","","Solana Next15 Turbopack Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 02:52:12 GMT 2025","Fri Oct 10 02:52:43 GMT 2025","31150","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 02:52:33 GMT 2025","Fri Oct 10 02:53:04 GMT 2025","31229","WebKit","","Solana Next.js 15 Turbopack Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"failed","Fri Oct 10 02:52:45 GMT 2025","Fri Oct 10 02:52:46 GMT 2025","1017","WebKit","","Solana Next15 Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 02:53:45 GMT 2025","Fri Oct 10 02:54:17 GMT 2025","31398","WebKit","","Solana Next.js 15 Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 02:53:18 GMT 2025","Fri Oct 10 02:53:49 GMT 2025","31194","WebKit","","Solana Vite Wallet Adapter Email Verification Tests","","","should complete email verification flow with wallet adapter",""
"broken","Fri Oct 10 02:51:39 GMT 2025","Fri Oct 10 02:52:11 GMT 2025","31983","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"broken","Fri Oct 10 02:53:58 GMT 2025","Fri Oct 10 02:54:29 GMT 2025","30559","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
"failed","Fri Oct 10 02:53:13 GMT 2025","Fri Oct 10 02:53:14 GMT 2025","1160","WebKit","","Wagmi Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 02:51:39 GMT 2025","Fri Oct 10 02:52:10 GMT 2025","30968","WebKit","Login","Civic Auth Applications","","","should complete full login and logout flow",""
"failed","Fri Oct 10 02:52:17 GMT 2025","Fri Oct 10 02:52:18 GMT 2025","1068","WebKit","","Solana Vite Wallet Adapter Login Tests","","","should complete login flow and show balance",""
"broken","Fri Oct 10 02:54:13 GMT 2025","Fri Oct 10 02:54:44 GMT 2025","31425","WebKit","Email","Civic Auth Applications","","","should complete email verification flow",""
